rir1,rir2,MAE_stft,MultiResoSTFT,ESRLoss,AveragePower,EDCLoss
IR_numClosed_54_numComb_62_mic_5_sweep_1.wav,IR_numClosed_45_numComb_4541_mic_2_sweep_3.wav,0.002607777016237378,2.6184823513031006,7.690952777862549,2.78774094581604,0.12077178391693877
IR_numClosed_54_numComb_62_mic_5_sweep_1.wav,IR_numClosed_45_numComb_4541_mic_3_sweep_5.wav,0.0025922793429344893,2.305054187774658,6.172350883483887,1.9638890027999878,0.12250755650821653
IR_numClosed_54_numComb_62_mic_5_sweep_1.wav,IR_numClosed_54_numComb_63_mic_1_sweep_2.wav,0.002446513157337904,1.6761442422866821,3.4901609420776367,0.6447668075561523,0.08958789057483206
IR_numClosed_54_numComb_62_mic_5_sweep_1.wav,IR_numClosed_5_numComb_541_mic_1_sweep_1.wav,0.0029964931309223175,3.821617841720581,13.290573120117188,11.538435935974121,0.1874393341344184
IR_numClosed_45_numComb_4541_mic_2_sweep_3.wav,IR_numClosed_45_numComb_4541_mic_3_sweep_5.wav,0.0019737137481570244,1.7463308572769165,2.6945252418518066,1.838971734046936,0.09530424298706261
IR_numClosed_45_numComb_4541_mic_2_sweep_3.wav,IR_numClosed_54_numComb_63_mic_1_sweep_2.wav,0.0020314722787588835,1.4256924390792847,1.8095502853393555,0.5173593163490295,0.058509110272258635
IR_numClosed_45_numComb_4541_mic_2_sweep_3.wav,IR_numClosed_5_numComb_541_mic_1_sweep_1.wav,0.0021786612924188375,2.699270248413086,5.150250434875488,11.434056282043457,0.1707369421327456
IR_numClosed_45_numComb_4541_mic_3_sweep_5.wav,IR_numClosed_54_numComb_63_mic_1_sweep_2.wav,0.001790904439985752,1.3023523092269897,2.078111410140991,0.5540990829467773,0.061051652559177404
IR_numClosed_45_numComb_4541_mic_3_sweep_5.wav,IR_numClosed_5_numComb_541_mic_1_sweep_1.wav,0.002035378012806177,2.737668037414551,6.261122226715088,11.4800386428833,0.1681653912348483
IR_numClosed_54_numComb_63_mic_1_sweep_2.wav,IR_numClosed_5_numComb_541_mic_1_sweep_1.wav,0.0028013489209115505,3.7121336460113525,10.997769355773926,11.57248306274414,0.2189123565680273
